,index,Headline,Link,Score
0,3,Half of US workers aren’t aware of the saver’s tax credit,https://finance.yahoo.com/news/half-of-us-workers-arent-aware-of-the-savers-tax-credit-204412765.html,0.3818
1,7,What is SWIFT?,https://finance.yahoo.com/news/yahoo-u-what-is-swift-214136185.html,0.368
2,4,Here’s what a US cyberattack on Russia would look like,https://finance.yahoo.com/news/heres-what-a-us-cyberattack-on-russia-would-look-like-211657201.html,0.3612
3,11,"US STOCKS-Dow, S&P 500 rise as Russia says ready to hold talks with UkraineReuters",/news/us-stocks-dow-p-500-154242760.html,0.3612
4,13,Goldman Sachs Sees Over 50% Gains in These 3 Beaten-Down Stocks,/news/goldman-sachs-sees-over-50-084512387.html,0.34
5,14,Katherine Wu leaves Coinbase Ventures to join crypto investment firm Archetype,/news/katherine-wu-leaves-coinbase-ventures-211143970.html,0.296
6,5,"'Women need more for retirement because they live longer, and yet they earn less': Retirement expert",https://finance.yahoo.com/video/women-more-retirement-because-live-203156698.html,0.0
7,8,Russian invasion of Ukraine complicates global climate agenda,https://finance.yahoo.com/news/russian-invasion-complicates-global-climate-agenda-130325946.html,0.0
8,10,Dow Jones Futures: Market Rally Begins Amid Ukraine Invasion; Watch Out For 'Swift' Reversal As West Targets Russian Banks,/m/5e9706a2-d66c-3d05-af01-9da8b50df8ec/dow-jones-futures-market.html,0.0
9,0,"U.S., UK, Europe, Canada to block Russian access to SWIFT",https://finance.yahoo.com/news/eu-announces-russia-sanctions-u-221453621.html,-0.0943
10,1,"U.S., UK, Europe, Canada to block Russian access to SWIFT",https://finance.yahoo.com/news/eu-announces-russia-sanctions-u-221453621.html,-0.0943
11,12,Investors brace for volatility as West moves to cut Russia off from SWIFTReuters,/news/investors-brace-volatility-west-moves-004206597.html,-0.2732
12,9,How to find lost retirement accounts,https://finance.yahoo.com/news/heres-how-to-find-lost-retirement-accounts-174855567.html,-0.3182
13,2,Here's why Putin won't win,https://finance.yahoo.com/news/heres-why-putin-wont-win-111634696.html,-0.4717
14,6,"Investors near retirement should 'resist the fear of missing out,’ Geltrude & Company Founder says",https://finance.yahoo.com/video/investors-near-retirement-resist-fear-215108873.html,-0.6597
