,Name,Signal,Last Price,Gain %,Link
0,Coal India,"['Top Gainers', 'Most Active']",184.80,8.99,https://www.moneycontrol.com//india/stockpricequote/miningminerals/coalindia/CI11
1,HDFC Life,"['Top Gainers', 'Most Active']",560.80,7.19,https://www.moneycontrol.com//india/stockpricequote/hdfclifeinsurancecompany/hdfclifeinsurancecompany/HSL01
2,SBI Life Insura,"['Top Gainers', 'Most Active']","1,121.15",5.75,https://www.moneycontrol.com//india/stockpricequote/diversified/sbilifeinsurancecompany/SLI03
3,Tata Steel,"['Top Gainers', 'Most Active']","1,289.35",5.62,https://www.moneycontrol.com//india/stockpricequote/tatasteel/tatasteel/TIS
4,Hindalco,"['Top Gainers', 'Most Active']",600.10,4.59,https://www.moneycontrol.com//india/stockpricequote/hindalcoindustries/hindalcoindustries/HI
5,UPL,"['Top Gainers', 'Most Active']",689.55,3.62,https://www.moneycontrol.com//india/stockpricequote/chemicals/upl/UP04
6,JSW Steel,"['Top Gainers', 'Most Active']",644.60,2.73,https://www.moneycontrol.com//india/stockpricequote/steel-large/jswsteel/JSW01
7,Titan Company,"['Top Gainers', 'Most Active']","2,592.65",1.81,https://www.moneycontrol.com//india/stockpricequote/miscellaneous/titancompany/TI01
8,Reliance,"['Top Gainers', 'Most Active']","2,398.55",1.65,https://www.moneycontrol.com//india/stockpricequote/refineries/relianceindustries/RI
9,ONGC,"['Top Gainers', 'Most Active']",162.95,1.43,https://www.moneycontrol.com//india/stockpricequote/oildrillingandexploration/oilnaturalgascorporation/ONG
10,Nestle,"['Top Gainers', 'Most Active']","17,844.60",1.16,https://www.moneycontrol.com//india/stockpricequote/foodprocessing/nestleindia/NI
11,Axis Bank,"['Top Gainers', 'Most Active']",750.25,1.06,https://www.moneycontrol.com//india/stockpricequote/banks-privatesector/axisbank/AB16
12,Power Grid Corp,"['Top Gainers', 'Most Active']",210.90,0.84,https://www.moneycontrol.com//india/stockpricequote/power-generationdistribution/powergridcorporationindia/PGC
13,Adani Ports,"['Top Gainers', 'Most Active']",710.30,0.40,https://www.moneycontrol.com//india/stockpricequote/infrastructure-general/adaniportsspecialeconomiczone/MPS
14,Bajaj Finserv,"['Top Gainers', 'Most Active']","16,053.00",0.25,https://www.moneycontrol.com//india/stockpricequote/finance-investments/bajajfinserv/BF04
15,Maruti Suzuki,"['Top Losers', 'Most Active']","7,814.20",-6.01,http://www.moneycontrol.com/india/stockpricequote/auto-carsjeeps/marutisuzukiindia/MS24
16,Dr Reddys Labs,"['Top Losers', 'Most Active']","3,853.15",-5.17,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/drreddyslaboratories/DRL
17,Asian Paints,"['Top Losers', 'Most Active']","3,028.95",-4.59,http://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/asianpaints/AP31
18,Bajaj Auto,"['Top Losers', 'Most Active']","3,372.30",-4.48,http://www.moneycontrol.com/india/stockpricequote/auto-23wheelers/bajajauto/BA10
19,Hero Motocorp,"['Top Losers', 'Most Active']","2,426.30",-4.30,http://www.moneycontrol.com/india/stockpricequote/auto-23wheelers/heromotocorp/HHM
20,ICICI Bank,"['Top Losers', 'Most Active']",714.85,-3.75,http://www.moneycontrol.com/india/stockpricequote/banks-privatesector/icicibank/ICI02
21,HDFC,"['Top Losers', 'Most Active']","2,278.10",-3.65,http://www.moneycontrol.com/india/stockpricequote/finance-housing/housingdevelopmentfinancecorporation/HDF
22,HDFC Bank,"['Top Losers', 'Most Active']","1,374.25",-3.65,http://www.moneycontrol.com/india/stockpricequote/banks-privatesector/hdfcbank/HDF01
23,Eicher Motors,"['Top Losers', 'Most Active']","2,508.10",-3.15,http://www.moneycontrol.com/india/stockpricequote/auto-lcvshcvs/eichermotors/EM
24,Grasim,"['Top Losers', 'Most Active']","1,548.50",-3.13,http://www.moneycontrol.com/india/stockpricequote/diversified/grasimindustries/GI01
25,Sun Pharma,"['Top Losers', 'Most Active']",820.90,-2.73,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/sunpharmaceuticalindustries/SPI
26,UltraTechCement,"['Top Losers', 'Most Active']","6,399.35",-2.57,http://www.moneycontrol.com/india/stockpricequote/cement-major/ultratechcement/UTC01
